{'pid': 13976, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe'}
{'pid': 14012, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'agentbeat.exe'}
{'pid': 14044, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe'}
{'pid': 14168, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'RuntimeBroker.exe'}
{'pid': 14180, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 14188, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'agentbeat.exe'}
{'pid': 14196, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 14216, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe'}
{'pid': 14232, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe'}
{'pid': 14412, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'TextInputHost.exe'}
{'pid': 14472, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'WindowsPackageManagerServer.exe'}
{'pid': 14708, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 14756, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'NisSrv.exe'}
{'pid': 14924, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'svchost.exe'}
{'pid': 14964, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'LockApp.exe'}
{'pid': 15112, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'FileCoAuth.exe'}
{'pid': 15200, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 15220, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 15368, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 15388, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'OneDrive.exe'}
{'pid': 15504, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 15592, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'dptf_helper.exe'}
{'pid': 15808, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 15876, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'PhoneExperienceHost.exe'}
{'pid': 15980, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 16152, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'CompPkgSrv.exe'}
{'pid': 16232, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'SecurityHealthSystray.exe'}
{'pid': 16300, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'RtkAudUService64.exe'}
{'pid': 16312, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'ShellExperienceHost.exe'}
{'pid': 16316, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'taskhostw.exe'}
{'pid': 16364, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'SecurityHealthService.exe'}
{'pid': 16376, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 16452, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 16576, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 16700, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
{'pid': 17000, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 17132, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'smartscreen.exe'}
{'pid': 17140, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 17220, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 17256, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 17380, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 17392, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 17588, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 17852, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'pid': 17872, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 17924, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'conhost.exe'}
{'pid': 17976, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'RuntimeBroker.exe'}
{'pid': 17980, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'RuntimeBroker.exe'}
{'pid': 17992, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 18036, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'conhost.exe'}
{'pid': 18124, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 18200, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 18664, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'WUDFHost.exe'}
{'pid': 19008, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 19196, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'WinStore.App.exe'}
{'pid': 19212, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'cmd.exe'}
{'pid': 19404, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
{'pid': 19640, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'conhost.exe'}
{'pid': 19820, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'powershell.exe'}
{'pid': 20388, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
